Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea
Chintin,24 Porcupine Ct,5,h,,PN,LJ,1/04/2017,3756,Northern Victoria,39,44.2,Macedon Ranges Shire Council
Strathmore Heights,5 Avro Ct,3,h,900000.0,PI,Considine,1/04/2017,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Caulfield East,15 Grange Rd,3,h,1400000.0,S,Gary,1/04/2017,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Huntingdale,31 Berkeley St,3,h,1145000.0,S,Ray,1/04/2017,3166,Southern Metropolitan,768,12.3,Monash City Council
Essendon West,32 Garnet St,3,h,1430000.0,S,Nelson,1/04/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Strathmore Heights,2/1 De Havilland Av,2,h,635500.0,S,Considine,1/07/2017,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Essendon West,24 Clydebank Rd,4,h,,SP,Barry,1/07/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Essendon West,6 Bourke St,3,h,750000.0,VB,Brad,1/07/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Huntingdale,9/220 Huntingdale Rd,3,h,750000.0,S,Ray,1/07/2017,3166,Southern Metropolitan,768,12.3,Monash City Council
Keilor Lodge,8 Turin Pl,4,h,640000.0,PI,Barry,1/07/2017,3038,Western Metropolitan,570,15.5,Brimbank City Council
Essendon West,36 Emerald St,5,h,2200000.0,VB,Nelson,1/07/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Rockbank,2013 Western Hwy,2,h,340000.0,SP,YPA,1/07/2017,3335,Western Metropolitan,538,23.8,Melton City Council
Essendon West,4/25 Hampton Rd,2,u,460000.0,VB,Nelson,1/09/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Essendon West,18A Emerald St,4,h,1450000.0,S,Frank,1/09/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Essendon West,20 Prospect St,3,h,,S,Brad,1/09/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Gardenvale,10 Lucy St,4,h,,PI,Biggin,1/09/2018,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Burnley,9/50 Gibdon St,3,h,1213000.0,S,Biggin,10/02/2018,3121,Northern Metropolitan,438,2.4,Yarra City Council
Kooyong,4/1 Monaro Rd,2,h,,S,Marshall,10/09/2016,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Strathmore Heights,4 Boeing Rd,4,h,1260000.0,S,Nelson,10/09/2016,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Essendon West,57 Hampton Rd,3,h,,S,Nelson,10/09/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Keilor Lodge,10 Turin Pl,4,h,638000.0,S,Barry,10/12/2016,3038,Western Metropolitan,570,15.5,Brimbank City Council
Caulfield East,9 Lord St,2,h,620000.0,SP,Woodards,10/12/2016,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Huntingdale,6a Garnett St,3,t,795000.0,S,Ray,10/12/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Essendon West,22 Emerald St,4,h,1345000.0,S,Nelson,10/12/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Burnley,12 Loyola Gr,2,h,1231010.0,SP,Jellis,10/12/2016,3121,Northern Metropolitan,438,2.4,Yarra City Council
Silvan,70 Lewis Rd,4,h,1085000.0,SA,Max,10/12/2016,3795,Eastern Victoria,457,34.6,Yarra Ranges Shire Council
Wattle Glen,43 Lorimer Rd,3,h,705000.0,S,Morrison,10/12/2016,3096,Northern Victoria,642,23.6,Nillumbik Shire Council
Gardenvale,66A Gardenvale Rd,3,h,1250000.0,PI,Nick,11/02/2017,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Keilor Lodge,7A Malibu Gr,4,h,710000.0,S,HAR,11/02/2017,3038,Western Metropolitan,570,15.5,Brimbank City Council
Kallista,21 Sunnyslopes Rd,4,h,1080000.0,SP,Fletchers,11/08/2018,3791,Eastern Victoria,622,31.6,Yarra Ranges Shire Council
Kooyong,8 Avenel Rd,5,h,,S,Marshall,11/08/2018,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Essendon West,467 Buckley St,2,h,1121000.0,S,Nelson,11/08/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Huntingdale,2/6 Shafton St,2,u,580000.0,PI,Ray,11/08/2018,3166,Southern Metropolitan,768,12.3,Monash City Council
Huntingdale,1/9 Berkeley St,3,u,820000.0,S,Ray,11/08/2018,3166,Southern Metropolitan,768,12.3,Monash City Council
Gardenvale,4/2 Lucy St,2,u,692000.0,S,Jellis,11/11/2017,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Essendon West,13A Garnet St,4,h,,VB,Brad,11/11/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Waterways,5 Ashberg Dr,3,h,651000.0,S,Ray,11/11/2017,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Keilor Lodge,1 Laguna Cl,3,h,670000.0,S,Nelson,11/11/2017,3038,Western Metropolitan,570,15.5,Brimbank City Council
Bullengarook,138 Walsh Rd,3,h,700000.0,VB,Raine,11/11/2017,3437,Northern Victoria,249,45.9,Macedon Ranges Shire Council
Bullengarook,65 Webb Rd,4,h,1050000.0,PI,Raine,11/11/2017,3437,Northern Victoria,249,45.9,Macedon Ranges Shire Council
Kooyong,23 Avenel Rd,4,h,2630000.0,S,Marshall,12/05/2018,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Huntingdale,6/27 Ross St,2,u,401000.0,S,Buxton,12/05/2018,3166,Southern Metropolitan,768,12.3,Monash City Council
Strathmore Heights,28 Collier Pl,3,h,,PI,Jellis,12/05/2018,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Strathmore Heights,3/29 Collier Ct,3,h,600000.0,S,Considine,12/05/2018,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Keilor Lodge,32 Messina Cr,4,h,660000.0,S,Barry,12/06/2016,3038,Western Metropolitan,570,15.5,Brimbank City Council
Huntingdale,15 Mortimer St,6,h,886500.0,S,Woodards,12/06/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Essendon West,1/410 Buckley St,3,t,800000.0,VB,Barry,12/06/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Essendon West,6 Beryl St,3,h,,VB,Barry,12/06/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Bullengarook,31 Carrolls La,3,h,535000.0,S,Keatings,12/08/2017,3437,Northern Victoria,249,45.9,Macedon Ranges Shire Council
Burnley,15/7 Adam St,1,u,,PI,Biggin,12/08/2017,3121,Northern Metropolitan,438,2.4,Yarra City Council
Essendon West,3a Bourke St,3,h,,SP,Nelson,12/11/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Essendon West,461 Buckley St,3,h,787500.0,S,Nelson,12/11/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Kooyong,87 Talbot Cr,4,h,1815000.0,S,Marshall,12/11/2016,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Strathmore Heights,12 Boeing Rd,4,h,931999.0,S,Nelson,12/11/2016,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Essendon West,2 Diamond St,3,h,1406000.0,S,Nelson,13/05/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Kalkallo,10 Malcolm St,4,h,566000.0,S,RW,13/05/2017,3064,Northern Metropolitan,121,20.6,Hume City Council
Kooyong,26 Monaro Rd,5,h,,PI,Marshall,13/05/2017,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Huntingdale,31 Beauford St,4,h,1132000.0,S,Buxton,13/05/2017,3166,Southern Metropolitan,768,12.3,Monash City Council
Waterways,24 Coorong Cir,4,h,1116500.0,S,Ray,13/08/2016,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Huntingdale,1/238 Huntingdale Rd,3,h,,SN,Ray,13/08/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Essendon West,1A View St,3,h,,SN,Frank,13/10/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Bulla,30 Blackwells La,4,h,1431500.0,S,YPA,13/10/2018,3428,Western Metropolitan,271,22.9,Hume City Council
Caulfield East,8/11 Tattenham St,1,u,283000.0,S,hockingstuart,14/04/2018,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Gardenvale,485 Kooyong Rd,3,h,1650000.0,VB,hockingstuart,14/04/2018,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Waterways,17 Tyrrell Tce,4,h,775000.0,PI,Barry,14/04/2018,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Oaklands Junction,13 The Ridge,4,h,940000.0,S,RE,14/04/2018,3063,Northern Metropolitan,146,24.3,Hume City Council
Gardenvale,2/32 Gardenia Rd,2,u,393000.0,SP,Biggin,14/05/2016,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Huntingdale,67 Ross St,2,h,,PN,Greg,14/05/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Strathmore Heights,22 Caravelle Cr,4,h,860000.0,PI,Considine,14/05/2016,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Bulla,95 Blackwells La,4,h,1380000.0,S,YPA,14/07/2018,3428,Western Metropolitan,271,22.9,Hume City Council
Burnley,58 Adam St,3,h,1232000.0,S,hockingstuart,14/07/2018,3121,Northern Metropolitan,438,2.4,Yarra City Council
Gardenvale,1/26 Begonia Rd,2,h,,SN,Chisholm,14/07/2018,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Huntingdale,8/264 Huntingdale Rd,2,u,400000.0,S,Greg,14/10/2017,3166,Southern Metropolitan,768,12.3,Monash City Council
Waterways,34 Dresden Dr,3,h,,S,O'Brien,14/10/2017,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Caulfield East,10/27 Tattenham St,2,u,,SP,hockingstuart,14/10/2017,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Rockbank,15 Quarters St,4,h,620000.0,S,HAR,14/10/2017,3335,Western Metropolitan,538,23.8,Melton City Council
Wildwood,430 Wildwood Rd,5,h,1030000.0,S,RE,14/10/2017,3429,Western Metropolitan,83,31.7,Hume City Council
Avonsleigh,2 MacClesfield Rd,3,h,,PN,Eview,14/10/2017,3782,Eastern Victoria,335,36.9,Cardinia Shire Council
Essendon West,384 Buckley St,3,h,1410000.0,PI,Jellis,15/07/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Waterways,7 Portland Pl,4,h,1265000.0,S,Ray,15/07/2017,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Caulfield East,13 Lord St,4,h,1550000.0,S,Ray,15/07/2017,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Rockbank,20 Quarters St,4,h,,PN,hockingstuart,15/07/2017,3335,Western Metropolitan,538,23.8,Melton City Council
Kooyong,6/1 Monaro Rd,2,h,1290000.0,S,hockingstuart,15/10/2016,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Waterways,26 Broadwater Dr,4,h,950000.0,PI,Ray,15/10/2016,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Essendon West,4/63 Hampton Rd,4,t,652500.0,S,Harcourts,15/10/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Rockbank,4 Socrates Wy,2,h,260000.0,S,Raine,15/10/2016,3335,Western Metropolitan,538,23.8,Melton City Council
Essendon West,479a Buckley St,3,h,685000.0,S,Nelson,15/10/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Burnley,92 Madden Gr,2,h,881000.0,SP,Jellis,16/04/2016,3121,Northern Metropolitan,438,2.4,Yarra City Council
Huntingdale,47 Greville St,3,h,936000.0,S,Hodges,16/04/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Castella,139 Castella Rd,3,h,770000.0,S,Ray,16/06/2018,3777,Northern Victoria,96,45.2,Murrindindi Shire Council
Huntingdale,20 Mortimer St,3,h,925000.0,S,Ray,16/06/2018,3166,Southern Metropolitan,768,12.3,Monash City Council
Caulfield East,75 Grange Rd,5,h,1335000.0,S,Gary,16/07/2016,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Kalorama,20 Jeeves Av,3,h,485000.0,PI,Max,16/07/2016,3766,Eastern Victoria,577,30.4,Yarra Ranges Shire Council
Essendon West,25 Garnet St,5,h,1300000.0,S,Nelson,16/07/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Caulfield East,4/8 Derby Cr,2,h,710000.0,S,Thomson,16/09/2017,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Caulfield East,22A Queens Av,2,h,,S,Jellis,16/09/2017,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Keilor Lodge,3/7 Lossi Ct,2,u,520000.0,S,Barry,16/09/2017,3038,Western Metropolitan,570,15.5,Brimbank City Council
Keilor Lodge,3 Dana Ct,4,h,,SN,Alexkarbon,16/12/2017,3038,Western Metropolitan,570,15.5,Brimbank City Council
Wattle Glen,4 Warrington Cr,4,h,835000.0,SP,Mason,16/12/2017,3096,Northern Victoria,642,23.6,Nillumbik Shire Council
Strathmore Heights,31 Caravelle Cr,4,h,1270000.0,S,Frank,17/02/2018,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Burnley,2b Cherrill St,3,h,1940000.0,S,Jellis,17/02/2018,3121,Northern Metropolitan,438,2.4,Yarra City Council
Rockbank,30 Arbourton Av,3,h,860000.0,SP,Sweeney,17/03/2018,3335,Western Metropolitan,538,23.8,Melton City Council
Gardenvale,5/177 North Rd,1,u,,VB,hockingstuart,17/03/2018,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
