avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,BirthRate
1397,469,164.9,489.8,61898,260131,11.2,499.7482038,39.3,36.9,41.7,2.54,52.5,6.118831029
173,70,161.3,411.6,48127,43269,18.6,23.11123437,33,32.2,33.7,2.34,44.5,4.333095578
102,50,174.7,349.7,49348,21026,14.6,47.56016361,45,44,45.8,2.62,54.2,3.729487817
427,202,194.8,430.4,44243,75882,17.1,342.6372526,42.8,42.2,43.4,2.52,52.7,4.603840773
57,26,144.4,350.1,49955,10321,12.5,0,48.3,47.8,48.9,2.34,57.8,6.796657382
428,152,176,505.4,52313,61023,15.6,180.259902,45.4,43.5,48,2.58,50.4,4.964476021
250,97,175.9,461.8,37782,41516,23.2,0,42.6,42.2,43.5,2.42,54.1,4.204317269
146,71,183.6,404,40189,20848,17.8,0,51.7,50.8,52.5,2.24,52.7,5.889178996
88,36,190.5,459.4,42579,13088,22.3,0,49.3,48.4,49.8,2.38,55.9,5.587583149
4025,1380,177.8,510.9,60397,843954,13.1,427.7484318,35.8,34.7,37,2.65,50,5.533430211
113,36,121.4,413.3,54721,16252,12.7,0,54.4,54,54.6,2.04,56.8,4.586129754
740,269,172.7,499.3,51395,121846,15.7,837.1222691,41,40,42.2,2.56,53.6,5.818153266
55,26,188.3,398.9,52673,11339,12.6,0,45.2,44.9,45.5,2.49,54.4,4.805591962
3438,1118,165.3,493.4,71890,772501,9.9,138.5111476,37.6,36.6,38.7,2.68,52.1,4.729251068
2265,901,171,440.7,50083,490945,16.3,462.3735856,37.2,35.7,38.7,2.45,49.4,5.355835918
251,106,174.2,423.8,43823,43791,19.3,0,46.2,45.6,46.8,2.44,57.2,3.631082062
1390,483,169.9,495.9,61653,269536,11.9,207.7644545,38.5,37.1,39.9,2.52,52.4,5.180155167
32,12,153.8,463.2,51022,4042,13.9,0,52.1,51.5,53.1,2.31,53.5,0.535475234
305,120,162.8,442.5,49819,60338,15.7,464.0525042,36.9,35.5,39.1,2.5,46.5,4.138710893
1081,367,163.3,490.9,53733,212284,15.7,249.6655424,36.5,35.6,37.5,2.53,47.5,4.4729858
134,50,140.8,390.5,41837,48177,28.4,0,24.2,24.4,23.9,2.31,36.1,3.304159034
958,403,169.4,411,44342,248830,20.5,301.4106016,32.5,31.6,33.6,3.05,48.6,6.560611666
94,41,189.7,445.2,35615,16704,21.5,0,41.5,40.9,42.1,2.68,52,2.292860865
499,215,206.1,463.1,56737,111901,13.2,89.3647063,38.4,38,38.6,0.0263,51.8,4.872468117
152,70,236.7,501.8,37625,23372,22.1,0,41.9,41.2,43.2,2.5,55.2,4.220287661
80,40,196.3,396.6,33817,14415,22.2,0,44.5,43.7,45.3,2.51,52.4,5.469020422
164,69,186.2,481.6,43572,23350,15.1,0,45.9,44.1,48,2.26,50.3,4.970530452
564,237,194,483.4,34887,96844,21.9,330.4283177,38.5,36.9,39.9,2.32,43,4.521925134
50,25,226.5,459.9,32162,7470,21.8,0,47,47.6,46.5,2.44,55.7,4.780114723
70,26,212.9,591,32961,8910,25.1,4938.271605,43.3,43.4,43.3,2.62,55.8,8.753056235
25,19,185.6,234,41838,8176,17.4,0,43.7,41.8,45.5,2.85,45.8,6.016466118
280,137,217,457,36739,44997,21.4,0,43.2,42,45.1,2.47,50.9,6.526136485
45,21,209.9,463.1,32705,8518,28.9,0,38.4,37.4,41.2,2.4,43.2,2.328431373
58,22,128,356.3,41039,11766,17,0,45.6,45.5,45.7,0.028,50.5,3.528435035
250,103,195.1,494.9,36996,35516,21.1,0,45.3,44.6,46.7,2.28,52.2,4.354354354
145,66,212.1,475.1,35980,23353,21.2,0,44.6,44,45.1,2.25,38.7,2.28320067
218,85,184.1,495,48178,29815,12.9,0,45.6,44.1,47.9,2.32,51.8,5.693029274
68,29,153,374.9,41010,13852,15.3,0,44.5,44.2,45,2.69,50.1,2.955003358
449,192,206.7,506.6,42121,68714,13.9,160.0838257,42,40.5,43.5,2.48,52.4,5.060383303
182,78,194.2,475.8,41121,29237,16.7,0,42.6,41.2,44.1,2.62,54.5,4.735242361
245,101,178.2,423.7,66950,56482,10.2,0,39.7,39.9,39.3,2.65,53.3,4.995519713
1285,539,205.4,508.7,43936,188332,16.8,191.1517958,42.8,40.9,44.3,2.28,47.9,4.091266719
124,50,218.4,553,40568,16448,20,0,43.3,42.2,44.7,2.48,50.6,4.374100719
139,60,226.9,513.2,34295,21415,24.4,46.69624095,41.9,41.4,42.8,2.69,50.6,2.635983264
245,113,240.1,523.9,36437,34707,20.2,28.81263146,42.6,41.5,44.1,2.5,53.1,4.195713917
137,70,234.8,457.1,24707,19835,34.9,0,44.1,41.5,46.5,2.39,46,3.860072376
373,144,188.8,510.9,43729,56925,17.9,0,41.1,39.7,42.7,2.47,51,5.113459745
208,87,184.6,456.3,43356,31978,15.2,0,44.3,42.9,46.5,2.36,57.7,3.174132305
