state_code,latitude,longitude,founded_at,age_first_funding_year,age_last_funding_year,funding_rounds,funding_total_usd,category_code,has_VC,has_angel,has_seriesA,has_seriesB,has_seriesC,has_seriesD,avg_participants,is_top500,status
CA,42.35888,-71.05682,1/1/2007,2.2493,3.0027,3,375000,music,No,Yes,No,No,No,No,1,No,acquired
CA,37.238916,-121.973718,1/1/2000,5.126,9.9973,4,40100000,enterprise,Yes,No,No,Yes,Yes,Yes,4.75,Yes,acquired
CA,32.901049,-117.192656,3/18/2009,1.0329,1.0329,1,-2600000,web,No,No,Yes,No,No,No,4,Yes,acquired
CA,37.320309,-122.05004,1/1/2002,3.1315,5.3151,3,40000000,software,No,No,No,Yes,Yes,Yes,3.3333,Yes,acquired
CA,37.779281,-122.419236,8/1/2010,,1.6685,2,1300000,games_video,Yes,Yes,No,No,No,No,1,Yes,closed
CA,37.406914,-122.09037,1/1/2002,,4.5452,1,7500000,network_hosting,No,No,No,Yes,No,No,3,Yes,closed
CA,37.3915589,-122.0702643,1/1/2005,1.7205,5.211,3,26000000000,software,Yes,No,Yes,Yes,No,No,1.6667,Yes,acquired
CA,38.057107,-122.513742,1/1/2004,1.6466,6.7616,3,34100000,,No,No,Yes,Yes,No,Yes,3.5,Yes,acquired
MA,42.712207,-73.203599,1/1/2002,3.5863,11.1123,3,9650000,,Yes,No,Yes,No,No,Yes,,Yes,acquired
CA,37.427235,-122.145783,6/1/2005,1.6712,4.6849,3,5750000,,Yes,Yes,Yes,No,No,No,,Yes,acquired
CA,37.4429885,-122.1624131,11/15/2000,4.6274,9.4493,3,27500000,mobile,No,No,Yes,Yes,No,No,1,Yes,acquired
CA,37.452992,-122.185098,1/1/2006,1.0849,,5,10400000,web,Yes,Yes,Yes,No,No,No,1.75,Yes,closed
KY,38.241467,-85.724511,1/1/2004,4.9041,4.9041,1,350000,web,Yes,No,No,No,No,No,1,No,closed
NY,40.70276,-73.986668,11/26/2007,0.0192,2.4356,3,9950000,education,No,No,Yes,Yes,Yes,No,2.3333,Yes,acquired
CO,39.7462728,-104.9911572,1/1/2001,4.6658,8.9973,5,10700000,software,No,No,Yes,Yes,No,No,2.5,Yes,acquired
VA,38.901301,-77.265158,1/1/1999,6.6082,,1,200000,public_relations,Yes,No,No,No,No,No,1,No,closed
CA,37.3962827,-122.105531,1/1/2003,2.5863,,5,49000000,security,Yes,No,Yes,Yes,Yes,Yes,3.5,Yes,closed
CA,37.590339,-122.341715,7/1/2000,4.5918,,4,25000000,games_video,No,No,Yes,Yes,Yes,Yes,3.5,Yes,acquired
NY,40.730646,-73.986614,1/1/2010,,,3,4575000,web,No,Yes,Yes,No,No,No,5,Yes,acquired
CA,37.446411,-122.16054,1/1/2007,2.5014,2.8301,2,28000000,enterprise,No,No,Yes,Yes,No,No,1,Yes,closed
TX,30.2350399,-97.8001299,1/1/2001,2.2137,3.7863,2,4355000,software,No,Yes,Yes,No,No,No,1.5,No,acquired
WA,47.6026054,-122.2848651,1/1/2004,3.8329,3.8329,1,15000000,other,No,No,No,Yes,No,No,2,Yes,closed
CA,37.426316,-122.141082,1/1/2002,5.4904,5.4904,1,3170000,web,No,No,Yes,No,No,No,2,No,closed
CA,37.764395,-122.401024,1/1/2008,-1,3.3151,2,2300000,mobile,No,Yes,Yes,No,No,No,,No,closed
CO,40.010492,-105.276843,5/1/2007,0.2521,0.337,2,455000,public_relations,No,Yes,Yes,No,No,No,,Yes,closed
IL,41.875555,-87.624421,1/1/2002,4.8411,4.8411,1,13000000,software,No,No,No,No,Yes,No,,Yes,acquired
CA,37.429676,-122.1085482,1/1/2003,,4.0603,1,15000000,public_relations,No,No,No,No,Yes,No,,Yes,acquired
CA,37.870102,-122.268136,6/1/2008,,4.0685,1,3800000,photo_video,No,No,No,Yes,No,No,2,Yes,acquired
TX,30.2653441,-97.7435857,5/1/2007,,4.5315,5,299500000,web,Yes,No,Yes,No,Yes,No,1.75,Yes,acquired
CA,33.708708,-117.852069,5/24/2005,,1.189,1,1000000,hardware,Yes,No,No,No,No,No,2,Yes,acquired
CA,37.422859,-122.045217,1/1/2007,,2.1644,2,10500000,other,No,No,Yes,Yes,No,No,2,Yes,closed
WA,47.603832,-122.330062,1/1/2001,,5.1671,2,8600000,,Yes,No,No,Yes,No,No,1.5,Yes,acquired
NC,36.002893,-78.904075,10/1/2006,-0.1671,2.0192,2,5000000,,No,No,Yes,Yes,No,No,2.5,Yes,closed
CA,37.779281,-122.419236,1/1/2011,0,0.8685,2,2304999,,Yes,No,No,No,No,No,5,Yes,acquired
PA,40.441694,-79.990086,6/1/2009,0.0822,0.0822,1,250,security,No,Yes,No,No,No,No,1,No,closed
NY,40.73901,-73.997259,7/1/2004,2.6575,2.6575,1,4000000,software,No,No,No,Yes,No,No,1,Yes,closed
CA,37.791137,-122.391843,1/1/2007,0.6192,1.5945,2,14600000,software,No,No,Yes,Yes,No,No,2,Yes,closed
CA,37.404788,-121.940842,1/1/2005,1.063,5.7014,3,44000000,hardware,No,No,No,Yes,Yes,No,4.5,Yes,closed
